id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
691212803264918638,Lovely 2 bedroom in beautiful private residence,474507921,Hyacinth,,TENTH WARD,42.66344638300454,-73.78874121586915,Private room,,1,21,2023-04-09,1.15,1,0,1,
692807914756117019,Relax in Style by Washington Park - Free Parking,67337944,Rabia,,ELEVENTH WARD,42.6623,-73.777,Entire home/apt,115,1,68,2024-02-21,4.65,1,0,58,
695129027343234397,Cozy 1-bedroom bungalow with office,130759460,Kelsey,,EIGHTH WARD,42.64971,-73.80079,Entire home/apt,,4,7,2023-08-26,0.43,1,0,3,
699073700185633508,Luxurious 2 bedroom 2 bathroom Historical Mansion,476189412,Timothy,,SECOND WARD,42.6468502,-73.7587258,Entire home/apt,,28,5,2023-05-14,0.29,2,151,2,
705660262559003663,Luxurious one bedroom with off-street parking,353498132,Michael,,SECOND WARD,42.64577,-73.7583,Entire home/apt,110,13,3,2023-08-13,0.20,5,257,2,
708040907580174096,"Hilts & Kinfolks, LLC - Albany Private Room 2",478008190,Edward,,FOURTEENTH WARD,42.66008,-73.79816,Private room,27,30,4,2023-08-16,0.27,3,341,3,
708060437684762754,"Hilts & Kinfolks, LLC - Albany, Private Room 3",478008190,Edward,,FOURTEENTH WARD,42.659297007542705,-73.79720147699118,Private room,27,30,2,2023-05-23,0.12,3,336,1,
708067736362606372,"Hilts & Kinfolks, LLC - Albany Private Room 1",478008190,Edward,,FOURTEENTH WARD,42.65935889426801,-73.7972692027688,Private room,26,30,4,2023-08-05,0.25,3,332,2,
708148232281445824,Mambo House Downtown Albany Governor's Mansion,426253886,Aggie,,SECOND WARD,42.64638,-73.76146,Entire home/apt,90,1,39,2024-02-23,2.22,3,346,28,
717373135846408345,Centrally located 2 bed w/ off street parking,232967878,Diana,,THIRTEENTH WARD,42.6732,-73.79199,Entire home/apt,135,2,30,2024-01-08,1.80,22,79,20,
723956857052424266,"Modern home, King Bed 4 bed 2bath, Crib,parking",10279606,Nori,,NINTH WARD,42.65691,-73.78389,Entire home/apt,187,1,121,2024-02-25,7.55,1,0,94,
724566770267420045,Cozy Greenwood Flat (1 BDR Apartment in Albany),360287870,Mela,,SIXTH WARD,42.6513719,-73.7673156,Entire home/apt,113,2,22,2024-03-04,3.46,1,269,22,
729131709113603445,Bright + Modern 1BR APT w Empire Plaza/Egg View,481974689,Lucy,,THIRD WARD,42.65103,-73.7574,Entire home/apt,,3,23,2023-04-29,1.33,1,0,4,
733964865705013296,Historic 1 bed/ 1 bath,502037254,Andrew,,SIXTH WARD,42.65035,-73.76549,Entire home/apt,68,14,1,2023-03-26,0.09,1,216,1,
735879623743921266,Historic & Homey 1 Bedroom Apt @ Downtown Albany,44434571,Earl,,THIRD WARD,42.64564,-73.75261,Entire home/apt,91,1,34,2024-02-29,2.05,6,331,25,
736122518072082645,Albany Apartment w/ Deck - Walk to Capitol!,121680792,Evolve,,SIXTH WARD,42.65245,-73.76294,Entire home/apt,,2,8,2023-07-09,0.48,5,209,3,
736893992132754814,Lovely private room in center square or $700/mo,77367219,Elizabeth,,SIXTH WARD,42.65643,-73.76402,Private room,60,30,2,2022-11-28,0.12,1,303,0,
737574278276037589,4 bed all on one floor,232967878,Diana,,TENTH WARD,42.66069,-73.78555,Entire home/apt,185,1,31,2023-10-23,1.92,22,0,25,
739722503092755616,Adirondack Suite #1,98744672,Bela,,NINTH WARD,42.6543178,-73.7818222,Private room,45,2,21,2024-02-16,1.26,8,344,17,
742946641797303970,"Cozy ground floor near governor’s mansion, L Park",479114612,Anilexa,,SECOND WARD,42.64469,-73.761,Entire home/apt,80,3,3,2023-09-04,0.19,1,339,2,
743600140734706394,Cozy apartment 2min walk to Albanymed office space,484673863,Blossom Estates,,NINTH WARD,42.65569,-73.77685,Entire home/apt,130,1,5,2024-02-27,0.34,2,365,1,
744430701454304507,"1 Bedroom on Lincoln Park, near Lark and Downtown",65414985,James,,SEVENTH WARD,42.6496,-73.76792,Entire home/apt,82,2,9,2023-12-30,0.81,2,289,9,
750748704706045644,Clean Escape- Centrally located- Self Check-In,255839958,Kira,,SEVENTH WARD,42.64284,-73.77997,Entire home/apt,131,1,12,2024-02-19,0.76,1,361,7,
751421033442627559,Modern- Cozy Center City 2 Bedroom Apartment Style,486073806,Keneisha,,FIFTH WARD,42.66648,-73.76831,Entire home/apt,101,2,13,2024-02-28,1.01,1,0,11,
